Nr.,By,Indbyggertal (2024),Breddegrad (N),Længdegrad (E),center_node,x_utm,y_utm
1,København,1363296,55.6761,12.5683,2277592989,724351.9286,6175804.022
2,Aarhus,290598,56.1629,10.2039,124145604,574766.3925,6224862.648
3,Odense,182387,55.4038,10.4024,813753929,588803.1439,6140622.075
4,Aalborg,120914,57.0488,9.9217,58955639,555917.0257,6323195.552
5,Esbjerg,71921,55.4765,8.4594,14807346,465829.8183,6147950.766
6,Randers,64057,56.4607,10.0364,,,
7,Horsens,63162,55.8607,9.8503,,,
8,Kolding,62338,55.4904,9.4722,,,
9,Vejle,61310,55.7113,9.5364,,,
10,Roskilde,52580,55.6419,12.0878,,,
11,Herning,51193,56.1368,8.978,,,
12,Silkeborg,50866,56.1697,9.5451,,,
13,Hørsholm,47836,55.8806,12.501,,,
14,Helsingør,47563,56.0308,12.5921,,,
15,Næstved,44996,55.2291,11.7609,,,
