Brand;Model;AccelSec;TopSpeed_KmH;Efficiency_WhKm;FastCharge_KmH;RapidCharge;PowerTrain;PlugType;BodyStyle;Segment;Seats;PriceEuro;Combined Cold;Combined mild;Battery_size;Range_Km
Tesla ;Model 3 Long Range Dual Motor;04.06;233;161;940;Yes;AWD;Type 2 CCS;Sedan;D;5;55480;435;615;75;525
Volkswagen ;ID.3 Pure;10;160;167;250;Yes;RWD;Type 2 CCS;Hatchback;C;5;30000;265;370;52;320
Polestar ;2;04.07;210;181;620;Yes;AWD;Type 2 CCS;Hatchback;D;5;56440;345;475;75;390
BMW ;iX3 ;06.08;180;206;560;Yes;RWD;Type 2 CCS;SUV;D;5;68040;325;440;74;385
Honda ;e ;09.05;145;168;190;Yes;RWD;Type 2 CCS;Hatchback;B;4;32997;285;385;28,5;170
Lucid ;Air ;02.08;250;180;620;Yes;AWD;Type 2 CCS;Sedan;F;5;105000;470;650;92;580
Volkswagen ;e-Golf ;09.06;150;168;220;Yes;FWD;Type 2 CCS;Hatchback;C;5;31900;160;215;32;190
Peugeot ;e-208 ;08.01;150;164;420;Yes;FWD;Type 2 CCS;Hatchback;B;5;29682;233;321;46;285
Tesla ;Model 3 Standard Range Plus;05.06;225;153;650;Yes;RWD;Type 2 CCS;Sedan;D;5;46380;290;410;51;350
Audi ;Q4 e-tron ;06.03;180;193;540;Yes;AWD;Type 2 CCS;SUV;D;5;55000;229;434;77;405
Mercedes ;EQC 400 4MATIC;05.01;180;216;440;Yes;AWD;Type 2 CCS;SUV;D;5;69484;315;420;80;370
Nissan ;Leaf ;07.09;144;164;230;Yes;FWD;Type 2 CHAdeMO;Hatchback;C;5;29234;200;275;39;235
Hyundai ;Kona Electric 64 kWh;07.09;167;160;380;Yes;FWD;Type 2 CCS;SUV;B;5;40795;325;450;64;390
BMW ;i4 ;4;200;178;650;Yes;RWD;Type 2 CCS;Sedan;D;5;65000;430;595;81;515
